PortID	Port	WhetherTrans	Region	Group
1	TANGER MED	1	AFRICA	5
2	CASABLANCA	0	AFRICA	5
3	AGADIR	0	AFRICA	5
4	LONDON GATEWAY PORT(ESS)	0	EUROPE	4
5	ROTTERDAM	1	EUROPE	4
6	HAMBURG	1	EUROPE	4
7	ANTWERP	1	EUROPE	4
8	LE HAVRE	1	EUROPE	4
9	VIGO	0	EUROPE	4
10	SOUTHAMPTON	0	EUROPE	4
11	THESSALONIKI	0	EUROPE	4
12	ISTANBUL(AMBARLI) PORT E. SIDE	0	EUROPE	4
13	GEBZE	0	ASIA	1
14	GEMLIK	0	EUROPE	4
15	FELIXSTOWE	0	EUROPE	4
16	ALEXANDRIA	0	AFRICA	5
17	DAMIETTA	0	AFRICA	5
18	BEIRUT	0	MIDDLE EAST	7
19	ISKENDERUN	0	ASIA	1
20	MERSIN	0	ASIA	1
