ID	Route	Call	Port	Round_trip	Time
1	1	1	SAINT JOHN(NB)	1	5
2	1	2	NEW YORK(NY)	1	8
3	1	3	KINGSTON	1	14
4	1	4	RIO HAINA	1	17
5	1	5	CAUCEDO	1	18
6	1	6	SAN JUAN	1	20
7	1	7	SAINT JOHN(NB)	1	26
8	1	1	SAINT JOHN(NB)	2	12
9	1	2	NEW YORK(NY)	2	15
10	1	3	KINGSTON	2	21
11	1	4	RIO HAINA	2	24
12	1	5	CAUCEDO	2	25
13	1	6	SAN JUAN	2	27
14	1	7	SAINT JOHN(NB)	2	33
15	1	1	SAINT JOHN(NB)	3	19
16	1	2	NEW YORK(NY)	3	22
17	1	3	KINGSTON	3	28
18	1	4	RIO HAINA	3	31
19	1	5	CAUCEDO	3	32
20	1	6	SAN JUAN	3	34
21	1	7	SAINT JOHN(NB)	3	40
22	1	2	NEW YORK(NY)	4	29
23	1	3	KINGSTON	4	35
24	1	4	RIO HAINA	4	38
25	1	5	CAUCEDO	4	39
26	1	6	SAN JUAN	4	41
27	1	7	SAINT JOHN(NB)	4	47
28	1	2	NEW YORK(NY)	5	36
29	1	3	KINGSTON	5	42
30	1	4	RIO HAINA	5	45
31	1	5	CAUCEDO	5	46
32	1	6	SAN JUAN	5	48
33	1	7	SAINT JOHN(NB)	5	54
34	1	2	NEW YORK(NY)	6	43
35	1	3	KINGSTON	6	49
36	1	4	RIO HAINA	6	52
37	1	5	CAUCEDO	6	53
38	1	6	SAN JUAN	6	55
39	1	7	SAINT JOHN(NB)	6	61
40	1	2	NEW YORK(NY)	7	50
41	1	3	KINGSTON	7	56
42	1	4	RIO HAINA	7	59
43	1	5	CAUCEDO	7	60
44	1	6	SAN JUAN	7	62
45	1	7	SAINT JOHN(NB)	7	68
46	1	2	NEW YORK(NY)	8	57
47	1	3	KINGSTON	8	63
48	1	4	RIO HAINA	8	66
49	1	5	CAUCEDO	8	67
50	1	6	SAN JUAN	8	69
51	1	7	SAINT JOHN(NB)	8	75
