PortID	Port	WhetherTrans	Region	Group
1	HAMAD	1	ASIA	1
2	JEBEL ALI	1	MIDDLE EAST	7
3	KARACHI	1	ASIA	1
4	NHAVA SHEVA	1	ASIA	1
5	MUNDRA	1	ASIA	1
6	JEDDAH	1	MIDDLE EAST	7
7	TRIPOLI(LB)	1	MIDDLE EAST	7
8	PIRAEUS	1	EUROPE	4
9	GENOA	1	EUROPE	4
10	VALENCIA	0	EUROPE	4
11	BARCELONA	0	EUROPE	4
12	FOS SUR MER	0	EUROPE	4
13	DAMIETTA	1	AFRICA	5
14	AQABA	0	MIDDLE EAST	7
15	DAMMAM	0	MIDDLE EAST	7
16	JUBAIL	0	MIDDLE EAST	7
17	PORT SAID	0	AFRICA	5
18	MERSIN	0	ASIA	1
19	ISTANBUL(AMBARLI) PORT E. SIDE	0	EUROPE	4
20	IZMIT	0	ASIA	1
21	ISKENDERUN	0	ASIA	1
22	KHALIFA PORT(ABU) DHABI	0	MIDDLE EAST	7
23	TANGER MED	1	AFRICA	5
24	SOUTHAMPTON	0	EUROPE	4
25	ROTTERDAM	1	EUROPE	4
26	BREMERHAVEN	0	EUROPE	4
27	ANTWERP	1	EUROPE	4
28	LE HAVRE	0	EUROPE	4
29	ALGECIRAS	0	EUROPE	4
30	HAZIRA(GJ)	0	EUROPE	4
31	HAMBURG	0	EUROPE	4
32	LONDON GATEWAY PORT(ESS)	0	EUROPE	4
