Path ID	OriginPort	OriginTime	DestinationPort	DestinationTime	PathTime	TransshipPort	TransshipTime	PortPath_length	PortPath	Arcs_length	ArcsID
1	POINTE DES GALETS	5	PORT LOUIS	10	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	1,2
2	POINTE DES GALETS	12	PORT LOUIS	17	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	4,5
3	POINTE DES GALETS	19	PORT LOUIS	24	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	7,8
4	POINTE DES GALETS	26	PORT LOUIS	31	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	10,11
5	POINTE DES GALETS	33	PORT LOUIS	38	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	13,14
6	POINTE DES GALETS	40	PORT LOUIS	45	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	16,17
7	POINTE DES GALETS	47	PORT LOUIS	52	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	19,20
8	POINTE DES GALETS	54	PORT LOUIS	59	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	22,23
9	POINTE DES GALETS	61	PORT LOUIS	66	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	25,26
10	POINTE DES GALETS	68	PORT LOUIS	73	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	28,29
11	POINTE DES GALETS	75	PORT LOUIS	80	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	31,32
12	POINTE DES GALETS	82	PORT LOUIS	87	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	34,35
13	POINTE DES GALETS	89	PORT LOUIS	94	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	37,38
14	POINTE DES GALETS	96	PORT LOUIS	101	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	40,41
15	POINTE DES GALETS	103	PORT LOUIS	108	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	43,44
16	POINTE DES GALETS	110	PORT LOUIS	115	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	46,47
17	POINTE DES GALETS	117	PORT LOUIS	122	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	49,50
18	POINTE DES GALETS	124	PORT LOUIS	129	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	52,53
19	POINTE DES GALETS	131	PORT LOUIS	136	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	55,56
20	POINTE DES GALETS	138	PORT LOUIS	143	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	58,59
21	POINTE DES GALETS	145	PORT LOUIS	150	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	61,62
22	POINTE DES GALETS	152	PORT LOUIS	157	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	64,65
23	POINTE DES GALETS	159	PORT LOUIS	164	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	67,68
24	POINTE DES GALETS	166	PORT LOUIS	171	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	70,71
25	POINTE DES GALETS	173	PORT LOUIS	178	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	73,74
26	POINTE DES GALETS	5	TAMATAVE	7	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	1
27	POINTE DES GALETS	12	TAMATAVE	14	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	4
28	POINTE DES GALETS	19	TAMATAVE	21	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	7
29	POINTE DES GALETS	26	TAMATAVE	28	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	10
30	POINTE DES GALETS	33	TAMATAVE	35	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	13
31	POINTE DES GALETS	40	TAMATAVE	42	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	16
32	POINTE DES GALETS	47	TAMATAVE	49	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	19
33	POINTE DES GALETS	54	TAMATAVE	56	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	22
34	POINTE DES GALETS	61	TAMATAVE	63	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	25
35	POINTE DES GALETS	68	TAMATAVE	70	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	28
36	POINTE DES GALETS	75	TAMATAVE	77	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	31
37	POINTE DES GALETS	82	TAMATAVE	84	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	34
38	POINTE DES GALETS	89	TAMATAVE	91	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	37
39	POINTE DES GALETS	96	TAMATAVE	98	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	40
40	POINTE DES GALETS	103	TAMATAVE	105	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	43
41	POINTE DES GALETS	110	TAMATAVE	112	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	46
42	POINTE DES GALETS	117	TAMATAVE	119	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	49
43	POINTE DES GALETS	124	TAMATAVE	126	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	52
44	POINTE DES GALETS	131	TAMATAVE	133	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	55
